File Name,File Path,File Size,Checksum
220131HM_P7_11_S96_1-P7B03N-ATCACG_R2_val_2_bismark_bt2_291.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_1-P7B03N-ATCACG_R2_val_2_bismark_bt2_291.multiple.deduplicated.bam,1608387841,31bac78058684fee33b622f8637b9a89
220131HM_P7_11_S96_2-P7B04N-CGATGT_R1_val_1_bismark_bt2_292.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_2-P7B04N-CGATGT_R1_val_1_bismark_bt2_292.multiple.deduplicated.bam,11612676217,e6cd656e11a0193e082a254ab8f43d70
220131HM_P7_11_S96_2-P7B04N-CGATGT_R2_val_2_bismark_bt2_292.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_2-P7B04N-CGATGT_R2_val_2_bismark_bt2_292.multiple.deduplicated.bam,11794234992,88941a80339940b2de7d296edc4f25d0
220131HM_P7_11_S96_3-P7B05N-TTAGGC_R1_val_1_bismark_bt2_293.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_3-P7B05N-TTAGGC_R1_val_1_bismark_bt2_293.multiple.deduplicated.bam,20972613022,6574902c77223125ed2c89a40e12963c
220131HM_P7_11_S96_3-P7B05N-TTAGGC_R2_val_2_bismark_bt2_293.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_3-P7B05N-TTAGGC_R2_val_2_bismark_bt2_293.multiple.deduplicated.bam,21520920698,fdd6134d01439e6bbf8fffb62d8ee560
220131HM_P7_11_S96_4-P7B10N-TGACCA_R1_val_1_bismark_bt2_295.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_4-P7B10N-TGACCA_R1_val_1_bismark_bt2_295.multiple.deduplicated.bam,4990219789,229f4dd74ddc0cfbae05700e9b006cc2
220131HM_P7_11_S96_4-P7B10N-TGACCA_R2_val_2_bismark_bt2_295.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_11_S96_4-P7B10N-TGACCA_R2_val_2_bismark_bt2_295.multiple.deduplicated.bam,5057162272,718539973d78584585c7d117404d0230
220131HM_P7_12_S97_1-P7B12N-ATCACG_R1_val_1_bismark_bt2_296.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_12_S97_1-P7B12N-ATCACG_R1_val_1_bismark_bt2_296.multiple.deduplicated.bam,14889028982,cec9bcbe59d49d42b9353c5790869816
220131HM_P7_12_S97_1-P7B12N-ATCACG_R2_val_2_bismark_bt2_296.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_12_S97_1-P7B12N-ATCACG_R2_val_2_bismark_bt2_296.multiple.deduplicated.bam,15245283913,8a55a69f790647230b68261a3c8ea99e
220131HM_P7_12_S97_2-P7C03N-CGATGT_R1_val_1_bismark_bt2_298.multiple.deduplicated.bam,/home/groups/CEDAR/Strogant/projects/AMLcountdown/Replicate1/dedup_combined/220131HM_P7_12_S97_2-P7C03N-CGATGT_R1_val_1_bismark_bt2_298.multiple.deduplicated.bam,6186831200,fef8f11385777081bd15ab67e3845c18
